version,build
3.0,23043
3.0.1,24078
3.0.2,24828
3.1,26228
3.1.1,27147
3.1.2,28096
3.1.3,28524
3.1.4,30364
3.1.5,31521
3.2,33572
3.2.1,34291
3.2.2,34603
3.2.3,35555
3.2.4,37025
3.2.5,38160
3.2.6,38259
3.3,38914
3.3.1,39933
3.3.2,41320
3.3.3,42717
3.3.4,43000
3.4,44873
3.4.1,45588
3.4.10,60883
3.4.11,65313
3.4.12,69236
3.4.13,75215
3.4.14,79166
3.4.2,46047
3.4.3,46779
3.4.4,47766
3.4.5,47883
3.4.6,51113
3.4.7,53738
3.4.8,54309
3.4.9,57762
4.0.1,64658
4.0.10,77146
4.0.11,79031
4.0.2,64889
4.0.3,65638
4.0.4,67724
4.0.4,69140
4.0.5,69401
4.0.6,70313
4.0.7,72459
4.0.8,73243
4.0.9,74233
4.1,77833
4.1.1,78281
4.1.2,79191
4.1.3,80534
4.1.4,82143
4.1.4.2,87928
4.1.5,85165
4.1.6,89596
4.1.7,95063
4.1.7.2,96691
4.1.8,97242
4.2,96430
4.2.1,98164
4.2.2,101277
4.2.3,105575
4.2.3.1,108358
4.2.3.2,108751
4.2.3.3,109273
4.2.4,110225
4.2.5,113966
4.2.5.1,115559
4.2.5.5,119110
4.2.5.6,120447
4.3,115073
4.3.0.1,117221
4.3.0.2,118042
4.3.0.3,118669
4.3.0.4,119767
4.3.1,119532
4.3.1.1,120547
4.3.1.2,124394
4.3.1.3,129121
4.3.2,123586
4.3.2.1,120547
4.3.2.2,124936
4.3.2.3,125682
4.3.2.4,126584
4.3.2.5,127169
4.3.2.6,133330
4.3.3,128297
4.3.3.1,130834
4.3.3.2,131390
4.3.3.3,132393
4.3.3.4,133434
4.3.3.5,134232
4.3.3.6,135342
4.3.4,136012
4.3.4,148119
4.3.4.1,137101
4.3.4.2,138369
4.3.4.3,139135
4.3.4.4,140565
4.3.5,140437
4.3.5.1,143732
4.3.5.2,145403
4.3.5.3,146121
4.3.5.4,148218
4.3.5.6,152772
4.3.6,153775
4.3.7,181874
5.0,140868
5.0.1,143156
5.0.1.1,145913
5.0.1.2,147008
5.0.1.3,148850
5.0.2,149561
5.0.2.1,151533
5.0.2.2,152970
5.0.2.3,154304
5.0.2.4,156374
5.0.2.5,159939
5.0.2.6,163451
5.0.3,163460
5.0.3.1,167641
5.0.3.2,176752
5.0.4,172409
5.0.4.1,177547
5.0.5,179365
5.0.5.1,182583
5.0.6,185560
5.0.7,192438
5.0.8,201809
6.0,182037
6.0.0.1,185008
6.0.0.2,186759
6.0.0.3,188286
6.0.1,189883
6.0.1.1,190330
6.0.1.2,195076
6.0.1.3,204108
6.0.2,196940
6.0.2.2,204107
6.0.3,204106
6.0.3.1,205009
6.1,206881
